id_question,kompetensi,pertanyaan,keywords
DMQ1,Data Mining ,Apa yang dimaksud dengan Knowledge Discovery in Databases (KDD)?,"ekstraksi informasi, data, database besar, seleksi data, preprocessing, transformasi, data mining, evaluasi"
DMQ2,Data Mining ,Jelaskan proses yang terlibat dalam KDD.,"seleksi data, preprocessing, pembersihan data, transformasi data, evaluasi, interpretasi hasil"
DMQ3,Data Mining ,Apa tujuan utama dari data mining?,"menemukan pola, tren, informasi, pengambilan keputusan"
DMQ4,Data Mining ,Sebutkan beberapa teknik data mining yang umum digunakan dan aplikasinya.,"klasifikasi, clustering, asosiasi, regresi, anomaly detection, deteksi spam, segmentasi pelanggan, market basket analysis, peramalan harga saham"
DMQ5,Data Mining ,Apa perbedaan antara supervised dan unsupervised data mining?,"data berlabel, prediksi data baru, tanpa label, memahami pola, hubungan dalam data"
DMQ6,Data Mining ,Bagaimana cara mengatasi masalah data yang tidak seimbang dalam data mining?,"oversampling, undersampling, "
DMQ7,Data Mining ,"Apa itu association rule mining, dan bagaimana cara kerjanya?","menemukan hubungan, pola tersembunyi, item, support, frekuensi, confidence, lift, pengaruh hubungan antar item."
DMQ8,Data Mining ,Jelaskan konsep clustering dan sebutkan beberapa algoritma yang digunakan.,"mengelompokkan data, kemiripan karakteristik, label,  K-Means, DBSCAN, Hierarchical Clustering"
DMQ9,Data Mining ,Apa yang dimaksud dengan classification dalam data mining?,"mengklasifikasikan data, kategori, label"
DMQ10,Data Mining ,Sebutkan dan jelaskan contoh algoritma klasifikasi yang sering digunakan.,"Decision Tree, Naive Bayes, Support Vector Machine, SVM,  Random Forest, KNN"
DMQ11,Data Mining ,Bagaimana evaluasi performa model data mining dilakukan?,"metrik evaluasi, data training, data validation"
DMQ12,Data Mining ,Apa tantangan yang sering dihadapi dalam proses data mining?,"kualitas data, missing value, noise, dataset tidak seimbang, duplicate data, outlier, komputasi tinggi"
DMQ13,Data Mining ,Apa peran preprocessing dalam data mining dan langkah-langkah apa yang terlibat?,"meningkatkan kualitas data, pembersihan data, integrasi data, penggabungan data, transformasi data, normalisasi, reduksi data"
DMQ14,Data Mining ,Bagaimana cara menilai kualitas data yang akan digunakan untuk mining?,"kelengkapan, konsistensi, hasil evaluasi, relevansi "
DMQ15,Data Mining ,Apa itu text mining dan bagaimana cara kerjanya?,"mengekstrak informasi, data teks, lower casing, punctuation removal, tokenization, stopword removal, stemming, feature extraction, TF-IDF"
DMQ16,Data Mining ,Jelaskan konsep outlier detection dalam data mining.,"data berbeda, data menyimpang"
DMQ17,Data Mining ,Apa perbedaan antara data mining dan data warehousing?,"eksplorasi data, informasi tersembunyi, penyimpanan data, berbagai sumber, pengelolaan data."
DMQ18,Data Mining ,Sebutkan beberapa aplikasi nyata dari data mining dalam industri.,"industri, retail, analisis pasar, rekomendasi produk, Amazon, perbankan, keuangan, deteksi penipuan, transaksi mencurigakan, anomaly detection, kesehatan, prediksi penyakit, diagnosis, rekam medis, e-commerce, personalisasi, perilaku pelanggan, situs web, telekomunikasi, prediksi churn, pengelolaan hubungan pelanggan"
DMQ19,Data Mining ,Apa pentingnya visualisasi data dalam data mining?,"mudah dipahami, mudah dianalisis, menyajikan informasi"
DMQ20,Data Mining ,Bagaimana Anda bisa memastikan bahwa hasil data mining dapat dipahami oleh pemangku kepentingan?,"visualisasi, informasi relevan,  konteks dan penjelasan, tujuan bisnis, pengambilan keputusan, presentasi interaktif, eksplorasi data, rekomendasi"
MLQ1,Machine Learning,Apa yang dimaksud dengan machine learning?,"kecerdasan buatan, AI, belajar dari data, tanpa diprogram eksplisit"
MLQ2,Machine Learning,Jelaskan perbedaan antara machine learning dan traditional programming.,"cara memproses informasi, aturan eksplisit, machine learning, belajar dari data, tanpa aturan eksplisit"
MLQ3,Machine Learning,Apa saja jenis algoritma machine learning yang ada?,"supervised learning, unsupervised learning, reinforcement learning"
